time,value
10:31:11,72
10:31:16,70
10:31:26,69
10:31:31,63
10:31:46,63
10:31:56,67
10:32:01,69
10:32:06,69
10:32:21,70
10:32:36,68
10:32:41,66
10:32:46,67
10:32:51,68
10:32:56,68
10:33:01,69
10:33:06,68
10:33:11,67
10:33:26,68
10:33:31,66
10:33:36,64
10:33:41,63
10:33:48,61
10:33:58,63
10:34:03,65
10:34:18,67
10:34:23,68
10:34:33,67
10:34:38,68
10:34:43,67
10:34:48,66
10:34:58,65
10:35:13,67
10:35:23,68
10:35:28,71
10:35:38,70
10:35:43,72
10:35:48,73
10:35:53,75
10:35:58,74
10:36:03,69
10:36:13,68
10:36:18,67
10:36:33,67
10:36:38,66
10:36:43,65
10:36:48,64
10:36:53,63
10:36:58,62
10:37:05,64
10:37:15,63
10:37:30,63
10:37:45,62
10:38:00,62
10:38:15,62
10:38:20,63
10:38:35,65
10:38:40,64
10:38:45,57
10:38:55,58
10:39:00,59
10:39:05,60
10:39:10,61
10:39:15,67
10:39:20,63
10:39:25,62
10:39:40,63
10:39:45,62
10:39:50,61
10:40:05,61
10:40:20,61
10:40:35,60
10:40:45,60
10:40:50,60
10:40:55,61
10:41:05,62
10:41:12,62
10:41:17,60
10:41:27,59
10:41:42,59
10:41:47,59
10:42:02,59
10:42:07,60
10:42:22,61
10:42:27,60
10:42:37,60
10:42:52,60
10:43:07,60
10:43:17,60
10:43:22,59
10:43:37,59
10:43:52,59
10:44:07,60
10:44:17,61
10:44:32,61
10:44:37,60
10:44:42,61
10:44:57,61
10:45:02,62
10:45:07,63
10:45:12,69
10:45:27,69
10:45:42,69
10:45:45,69
10:45:50,68
10:45:55,67
10:46:00,66
10:46:05,65
10:46:15,64
10:46:30,64
10:46:45,64
10:47:00,64
10:47:15,64
10:47:20,65
10:47:25,64
10:47:40,63
10:47:55,64
10:48:10,65
10:48:20,67
10:48:35,67
10:48:50,67
10:48:55,66
10:49:00,60
10:49:10,59
10:49:20,58
10:49:25,57
10:49:30,58
10:49:35,59
10:49:40,60
10:49:50,59
10:49:57,60
10:50:02,61
10:50:07,62
10:50:12,62
10:50:22,61
10:50:37,62
10:50:42,58
10:50:57,58
10:51:12,59
10:51:17,60
10:51:22,59
10:51:27,58
10:51:32,57
10:51:37,57
10:51:52,57
10:51:57,58
10:52:02,59
10:52:17,58
10:52:32,58
10:52:42,59
10:52:57,59
10:53:07,60
10:53:12,62
10:53:22,62
10:53:27,62
10:53:42,63
10:53:47,64
10:53:54,66
10:54:09,58
10:54:14,58
10:54:19,57
10:54:24,58
10:54:34,57
10:54:49,59
10:54:54,60
10:54:59,59
10:55:14,59
10:55:24,58
10:55:29,60
10:55:34,61
10:55:44,60
10:55:49,59
10:55:54,60
10:55:59,61
10:56:14,61
10:56:24,62
10:56:29,60
10:56:34,61
10:56:39,59
10:56:44,58
10:56:49,57
10:56:59,56
10:57:14,55
10:57:29,55
10:57:31,55
10:57:46,56
10:58:01,55
10:58:06,56
10:58:11,57
10:58:16,56
10:58:21,55
10:58:36,55
10:58:41,56
10:58:46,57
10:59:01,57
10:59:06,58
10:59:11,57
10:59:26,59
10:59:31,57
10:59:36,57
10:59:51,57
10:59:56,59
11:00:01,56
11:00:16,56
11:00:26,57
11:00:36,56
11:00:51,56
11:01:06,56
11:01:21,56
11:01:26,56
11:01:36,57
11:01:43,59
11:01:48,61
11:01:53,64
11:01:58,67
11:02:03,70
11:02:08,72
11:02:18,72
11:02:28,70
11:02:33,72
11:02:38,72
11:02:43,72
11:02:48,74
11:02:58,71
11:03:03,69
11:03:18,70
11:03:28,68
11:03:33,67
11:03:38,66
11:03:53,66
11:03:58,65
11:04:13,64
11:04:18,63
11:04:28,63
11:04:33,63
11:04:48,63
11:05:03,62
11:05:08,63
11:05:15,63
11:05:20,62
11:05:25,61
11:05:30,60
11:05:35,61
11:05:40,63
11:05:45,64
11:05:50,62
11:05:55,63
11:06:10,63
11:06:25,63
11:06:30,64
11:06:35,63
11:06:40,59
11:06:45,58
11:06:50,58
11:07:00,57
11:07:10,58
11:07:15,59
11:07:25,57
11:07:30,58
11:07:45,57
11:07:50,57
11:07:55,58
11:08:05,60
11:08:10,61
11:08:15,68
11:08:22,72
11:08:32,73
11:08:37,72
11:08:42,73
11:08:52,62
11:08:57,62
11:09:07,61
11:09:22,60
11:09:32,59
11:09:42,58
11:09:47,58
11:09:52,57
11:10:07,56
11:10:22,56
11:10:27,58
11:10:32,59
11:10:47,59
11:10:52,58
11:11:07,59
11:11:22,60
11:11:27,62
11:11:32,63
11:11:37,64
11:11:42,64
11:11:57,64
11:12:12,64
11:12:14,64
11:12:29,64
11:12:39,63
11:12:49,59
11:12:54,57
11:13:09,59
11:13:14,60
11:13:24,60
11:13:34,65
11:13:49,65
11:13:59,64
11:14:14,64
11:14:19,63
11:14:29,63
11:14:34,63
11:14:44,64
11:14:49,63
11:15:04,63
11:15:19,63
11:15:24,62
11:15:39,62
11:15:49,62
11:15:59,63
11:16:14,63
11:16:24,63
11:16:29,62
11:16:34,64
11:16:42,64
11:16:47,59
11:16:57,60
11:17:07,68
11:17:12,69
11:17:17,70
11:17:27,69
11:17:42,68
11:17:57,67
11:18:12,67
11:18:17,65
11:18:22,61
11:18:27,61
11:18:32,60
11:18:37,61
11:18:42,60
11:18:57,61
11:19:02,62
11:19:07,62
11:19:12,64
11:19:17,63
11:19:27,64
11:19:42,63
11:19:47,64
11:19:52,63
11:19:57,62
11:20:04,63
11:20:14,62
11:20:19,63
11:20:34,63
11:20:39,64
11:20:54,65
11:21:04,63
11:21:14,61
11:21:19,62
11:21:34,62
11:21:49,62
11:21:54,63
11:21:59,63
11:22:04,64
11:22:09,65
11:22:24,64
11:22:39,65
11:22:44,64
11:22:49,63
11:22:54,61
11:22:59,60
11:23:04,61
11:23:19,61
11:23:34,61
11:23:49,62
11:24:04,62
11:24:09,61
11:24:16,61
11:24:31,61
11:24:46,61
11:24:56,62
11:25:11,61
11:25:26,61
11:25:31,61
11:25:46,61
11:25:51,61
11:26:01,62
11:26:16,62
11:26:21,62
11:26:31,62
11:26:46,62
11:27:01,62
11:27:06,61
11:27:16,61
11:27:21,60
11:27:26,64
11:27:36,63
11:27:51,63
11:28:01,62
11:28:16,62
11:28:21,62
11:28:36,63
11:28:41,64
11:28:46,63
11:28:53,59
11:29:08,59
11:29:18,57
11:29:23,58
11:29:28,59
11:29:33,60
11:29:43,59
11:29:58,59
11:30:03,61
11:30:13,59
11:30:18,60
11:30:33,59
11:30:48,60
11:30:53,60
11:30:58,59
11:31:08,60
11:31:23,59
11:31:33,60
11:31:48,61
11:31:53,60
11:31:58,59
11:32:08,57
11:32:13,56
11:32:18,55
11:32:33,56
11:32:43,57
11:32:48,56
11:32:55,55
11:33:05,58
11:33:15,57
11:33:25,56
11:33:30,57
11:33:35,58
11:33:50,58
11:34:05,58
11:34:15,57
11:34:20,56
11:34:35,56
11:34:50,56
11:35:00,55
11:35:15,69
11:35:30,68
11:35:35,67
11:35:50,66
11:35:55,65
11:36:00,64
11:36:05,63
11:36:10,61
11:36:15,59
11:36:30,57
11:36:40,58
11:36:45,59
11:36:50,58
11:36:58,58
11:37:08,56
11:37:13,58
11:37:18,58
11:37:33,58
11:37:38,59
11:37:43,58
11:37:48,57
11:37:58,62
11:38:03,59
11:38:08,58
11:38:13,59
11:38:18,58
11:38:23,57
11:38:33,60
11:38:48,60
11:38:58,59
11:39:13,59
11:39:18,61
11:39:23,63
11:39:28,60
11:39:33,60
11:39:43,60
11:39:48,62
11:39:53,61
11:40:08,60
11:40:13,58
11:40:19,58
11:40:24,57
11:40:29,56
11:40:44,56
11:40:49,57
11:40:54,56
11:40:59,59
11:41:04,60
11:41:09,61
11:41:14,61
11:41:19,60
11:41:34,60
11:41:49,60
11:42:04,59
11:42:09,58
11:42:19,57
11:42:24,57
11:42:39,56
11:42:44,55
11:42:49,56
11:43:04,54
11:43:19,54
11:43:24,55
11:43:39,56
11:43:54,56
11:43:59,58
11:44:04,60
11:44:11,60
11:44:21,60
11:44:26,61
11:44:36,60
11:44:51,61
11:45:01,61
11:45:06,59
11:45:11,56
11:45:16,55
11:45:26,56
11:45:36,57
11:45:41,56
11:45:51,69
11:46:06,70
11:46:11,71
11:46:26,70
11:46:31,67
11:46:36,66
11:46:41,65
11:46:46,59
11:46:51,58
11:46:56,57
11:47:11,57
11:47:21,56
11:47:31,58
11:47:41,60
11:47:48,60
11:47:53,58
11:47:58,58
11:48:13,58
11:48:28,58
11:48:33,58
11:48:38,59
11:48:43,60
11:48:53,61
11:48:58,63
11:49:03,64
11:49:08,66
11:49:13,67
11:49:18,69
11:49:23,72
11:49:38,73
11:49:43,71
11:49:53,72
11:50:03,73
11:50:08,75
11:50:13,77
11:50:18,79
11:50:23,80
11:50:33,82
11:50:38,84
11:50:43,85
11:50:48,87
11:50:55,84
11:51:00,83
11:51:05,87
11:51:10,91
11:51:15,94
11:51:20,97
11:51:25,100
11:51:30,101
11:51:35,100
11:51:40,101
11:51:45,103
11:51:50,102
11:51:55,103
11:52:10,102
11:52:15,103
11:52:20,102
11:52:25,104
11:52:30,106
11:52:45,108
11:52:50,113
11:52:55,114
11:53:00,109
11:53:05,107
11:53:10,103
11:53:15,96
11:53:20,95
11:53:25,98
11:53:32,98
11:53:37,97
11:53:52,97
11:53:57,94
11:54:02,97
11:54:07,96
11:54:12,98
11:54:17,92
11:54:22,89
11:54:27,91
11:54:37,92
11:54:42,89
11:54:47,91
11:54:52,92
11:54:57,91
11:55:12,90
11:55:17,91
11:55:22,95
11:55:27,97
11:55:32,98
11:55:47,95
11:55:57,96
11:56:02,97
11:56:07,99
11:56:12,100
11:56:22,99
11:56:27,100
11:56:33,99
11:56:38,98
11:56:43,95
11:56:48,92
11:57:03,90
11:57:08,87
11:57:13,69
11:57:18,70
11:57:23,68
11:57:28,67
11:57:43,66
11:57:48,62
11:57:53,61
11:57:58,61
11:58:03,61
11:58:08,60
11:58:13,59
11:58:18,58
11:58:23,57
11:58:33,57
11:58:48,57
11:58:58,58
11:59:08,57
11:59:13,56
11:59:18,58
11:59:25,58
11:59:35,59
11:59:40,60
11:59:45,61
11:59:50,62
11:59:55,64
12:00:00,66
12:00:05,68
12:00:10,70
12:00:15,72
12:00:20,73
12:00:35,73
12:00:50,73
12:00:55,77
12:01:05,74
12:01:10,73
12:01:25,73
12:01:30,72
12:01:35,70
12:01:50,70
12:01:55,69
12:02:05,67
12:02:10,66
12:02:25,66
12:02:40,66
12:02:45,65
12:02:50,63
12:02:57,63
12:03:07,64
12:03:12,63
12:03:27,63
12:03:42,63
12:03:57,63
12:04:12,63
12:04:22,64
12:04:27,64
12:04:37,67
12:04:42,69
12:04:47,71
12:04:52,72
12:04:57,73
12:05:02,74
12:05:07,76
12:05:12,80
12:05:17,82
12:05:22,82
12:05:27,81
12:05:32,80
12:05:37,82
12:05:52,82
12:06:07,82
12:06:22,81
12:06:37,81
12:06:42,78
12:06:49,75
12:06:54,74
12:07:04,71
12:07:09,70
12:07:24,70
12:07:34,69
12:07:39,66
12:07:44,60
12:07:49,56
12:07:54,55
12:08:09,55
12:08:19,56
12:08:34,56
12:08:39,55
12:08:44,53
12:08:59,53
12:09:04,52
12:09:09,53
12:09:14,54
12:09:19,53
12:09:24,52
12:09:29,53
12:09:44,53
12:09:49,55
12:09:59,56
12:10:09,55
12:10:14,53
12:10:21,54
12:10:26,53
12:10:41,51
12:10:46,52
12:10:51,53
12:11:01,54
12:11:06,56
12:11:16,57
12:11:26,57
12:11:31,58
12:11:36,61
12:11:46,62
12:12:01,62
12:12:11,61
12:12:16,61
12:12:21,58
12:12:31,59
12:12:41,57
12:12:51,57
12:12:56,58
12:13:01,59
12:13:06,59
12:13:16,58
12:13:21,57
12:13:26,58
12:13:31,56
12:13:41,57
12:13:48,56
12:13:53,56
12:13:58,56
12:14:03,56
12:14:18,58
